1_ortho,2_phon,18_p_cvcv,24_nbsyll
contrariée,k§tRaRje,CVCCVCYV,3
contrariées,k§tRaRje,CVCCVCYV,3
contrariées,k§tRaRje,CVCCVCYV,3
contrariés,k§tRaRje,CVCCVCYV,3
contrariés,k§tRaRje,CVCCVCYV,3
contrariété,k§tRaRjete,CVCCVCYVCV,4
contrariétés,k§tRaRjete,CVCCVCYVCV,4
contras,k§tRa,CVCCV,2
contrasta,k§tRasta,CVCCVCCV,3
contrastaient,k§tRastE,CVCCVCCV,3
contrastait,k§tRastE,CVCCVCCV,3
contrastant,k§tRast@,CVCCVCCV,3
contrastant,k§tRast@,CVCCVCCV,3
contraste,k§tRast,CVCCVCC,2
contraste,k§tRast,CVCCVCC,2
contrastent,k§tRast,CVCCVCC,2
contraster,k§tRaste,CVCCVCCV,3
contrasteraient,k§tRast°RE,CVCCVCCVCV,4
contrasterait,k§tRast°RE,CVCCVCCVCV,4
contrastes,k§tRast,CVCCVCC,2
contrastez,k§tRaste,CVCCVCCV,3
contrastât,k§tRasta,CVCCVCCV,3
contrasté,k§tRaste,CVCCVCCV,3
contrasté,k§tRaste,CVCCVCCV,3
contrastée,k§tRaste,CVCCVCCV,3
contrastée,k§tRaste,CVCCVCCV,3
contrastées,k§tRaste,CVCCVCCV,3
contrastées,k§tRaste,CVCCVCCV,3
contrastés,k§tRaste,CVCCVCCV,3
contrastés,k§tRaste,CVCCVCCV,3
contrat,k§tRa,CVCCV,2
contrat-type,k§tRatip,CVCCVCVC,3
contrats,k§tRa,CVCCV,2
contravention,k§tRav@sj§,CVCCVCVCYV,4
contraventions,k§tRav@sj§,CVCCVCVCYV,4
contre,k§tR,CVCC,1
contre,k§tR,CVCC,1
contre,k§tR,CVCC,1
contre-accusations,k§tRakyzasj§,CVCCVCVCVCYV,5
contre-alizés,k§tRalize,CVCCVCVCV,4
contre-allée,k§tRale,CVCCVCV,3
contre-allées,k§tRale,CVCCVCV,3
contre-amiral,k§tRamiRal,CVCCVCVCVC,4
contre-appel,k§tRapEl,CVCCVCVC,3
contre-assurance,k§tRasyR@s,CVCCVCVCVC,4
contre-attaqua,k§tRataka,CVCCVCVCV,4
contre-attaquaient,k§tRatakE,CVCCVCVCV,4
contre-attaquait,k§tRatakE,CVCCVCVCV,4
contre-attaquant,k§tRatak@,CVCCVCVCV,4
contre-attaque,k§tRatak,CVCCVCVC,3
contre-attaque,k§tRatak,CVCCVCVC,3
contre-attaquent,k§tRatak,CVCCVCVC,3
contre-attaquer,k§tRatake,CVCCVCVCV,4
contre-attaquera,k§tRatak°Ra,CVCCVCVCVCV,5
contre-attaquerons,k§tRatak°R§,CVCCVCVCVCV,5
contre-attaques,k§tRatak,CVCCVCVC,3
contre-attaques,k§tRatak,CVCCVCVC,3
contre-attaquons,k§tRatak§,CVCCVCVCV,4
contre-attaquèrent,k§tRatakER,CVCCVCVCVC,4
contre-attaqué,k§tRatake,CVCCVCVCV,4
contre-champ,k§tR°S@,CVCCVCV,3
contre-chant,k§tR°S@,CVCCVCV,3
contre-chocs,k§tR°SOk,CVCCVCVC,3
contre-clés,k§tR°kle,CVCCVCCV,3
contre-courant,k§tR°kuR@,CVCCVCVCV,4
contre-culture,k§tR°kyltyR,CVCCVCVCCVC,4
contre-emploi,k§tR@plwa,CVCCVCCYV,3
contre-espionnage,k§tREspjonaZ,CVCCVCCYVCVC,4
contre-exemple,k§tREgz@pl,CVCCVCCVCC,3
contre-expertise,k§tREkspERtiz,CVCCVCCCVCCVC,4
contre-expertises,k§tREkspERtiz,CVCCVCCCVCCVC,4
contre-feu,k§tR2f2,CVCCVCV,3
contre-feux,k§tR°f2,CVCCVCV,3
contre-fiches,k§tR°fiS,CVCCVCVC,3
contre-fil,k§tR°fil,CVCCVCVC,3
contre-gré,k§tR2gRe,CVCCVCCV,3
contre-indication,k§tR5dikasj§,CVCCVCVCVCYV,5
contre-indications,k§tR5dikasj§,CVCCVCVCVCYV,5
contre-indiqué,k§tR5dike,CVCCVCVCV,4
contre-indiqué,k§tR5dike,CVCCVCVCV,4
contre-interrogatoire,k§tR5tERogatwaR,CVCCVCVCVCVCYVC,6
contre-interrogatoires,k§tR5tERogatwaR,CVCCVCVCVCVCYVC,6
contre-jour,k§tR°ZuR,CVCCVCVC,3
contre-la-montre,k§tR2lam§tR,CVCCVCVCVCC,4
contre-lame,k§tR°lam,CVCCVCVC,3
contre-lettre,k§tR°lEtR,CVCCVCVCC,3
contre-manifestants,k§tR°manifEst@,CVCCVCVCVCVCCV,6
contre-manifestent,k§tR°manifEst,CVCCVCVCVCVCC,5
contre-mesure,k§tR2m2zyR,CVCCVCVCVC,4
contre-mesures,k§tR°m°zyR,CVCCVCVCVC,4
contre-mine,k§tR°min,CVCCVCVC,3
contre-mines,k§tR°min,CVCCVCVC,3
contre-miné,k§tR°mine,CVCCVCVCV,4
contre-nature,k§tR°natyR,CVCCVCVCVC,4
contre-offensive,k§tRof@siv,CVCCVCVCVC,4
contre-offensives,k§tRof@siv,CVCCVCVCVC,4
contre-ordre,k§tRORdR,CVCCVCCC,2
contre-ordres,k§tRORdR,CVCCVCCC,2
contre-pente,k§tR°p@t,CVCCVCVC,3
contre-performance,k§tR2pERfORm@s,CVCCVCVCCVCCVC,5
contre-performances,k§tR°pERfORm@s,CVCCVCVCCVCCVC,5
contre-pied,k§tR°pje,CVCCVCYV,3
contre-pieds,k§tR°pje,CVCCVCYV,3
contre-plaqué,k§tR°plake,CVCCVCCVCV,4
contre-plongée,k§tR°pl§Ze,CVCCVCCVCV,4
contre-pouvoirs,k§tR°puvwaR,CVCCVCVCYVC,4
contre-pression,k§tR°pREsj§,CVCCVCCVCYV,4
contre-productif,k§tR2pROdyktif,CVCCVCCVCVCCVC,5
contre-productive,k§tR2pROdyktiv,CVCCVCCVCVCCVC,5
contre-propagande,k§tR°pRopag@d,CVCCVCCVCVCVC,5
contre-proposition,k§tR°pRopozisj§,CVCCVCCVCVCVCYV,6
contre-propositions,k§tR°pRopozisj§,CVCCVCCVCVCVCYV,6
contre-réaction,k§tR°Reaksj§,CVCCVCVVCCYV,5
contre-réforme,k§tR°RefORm,CVCCVCVCVCC,4
contre-révolution,k§tR°Revolysj§,CVCCVCVCVCVCYV,6
contre-révolutionnaire,k§tR°RevolysjonER,CVCCVCVCVCVCYVCVC,7
contre-révolutionnaire,k§tR°RevolysjonER,CVCCVCVCVCVCYVCVC,7
contre-révolutionnaires,k§tR°RevolysjonER,CVCCVCVCVCVCYVCVC,7
contre-révolutionnaires,k§tR°RevolysjonER,CVCCVCVCVCVCYVCVC,7
contre-terrorisme,k§tR°tERoRism,CVCCVCVCVCVCC,5
contre-terroriste,k§tR°tERoRist,CVCCVCVCVCVCC,5
contre-test,k§tR°tEst,CVCCVCVCC,3
contre-torpilleur,k§tR°tORpij9R,CVCCVCVCCVYVC,5
contre-torpilleurs,k§tR°tORpij9R,CVCCVCVCCVYVC,5
contre-transfert,k§tR2tR@sfER,CVCCVCCVCCVC,4
contre-ut,k§tR°yt,CVCCVVC,3
contre-voie,k§tR°vwa,CVCCVCYV,3
contre-vérité,k§tR°veRite,CVCCVCVCVCV,5
contre-épreuve,k§tRepR9v,CVCCVCCVC,3
contre-épreuves,k§tRepR9v,CVCCVCCVC,3
contrebalance,k§tR°bal@s,CVCCVCVCVC,4
contrebalancer,k§tR°bal@se,CVCCVCVCVCV,5
contrebalancé,k§tR2bal@se,CVCCVCVCVCV,5
contrebalancée,k§tR°bal@se,CVCCVCVCVCV,5
contrebalancés,k§tR°bal@se,CVCCVCVCVCV,5
contrebalançais,k§tR°bal@sE,CVCCVCVCVCV,5
contrebalançait,k§tR°bal@sE,CVCCVCVCVCV,5
contrebande,k§tR°b@d,CVCCVCVC,3
contrebandier,k§tR°b@dje,CVCCVCVCYV,4
contrebandiers,k§tR°b@dje,CVCCVCVCYV,4
contrebandière,k§tR°b@djER,CVCCVCVCYVC,4
contrebas,k§tR°ba,CVCCVCV,3
contrebasse,k§tR°bas,CVCCVCVC,3
contrebasse,k§tR°bas,CVCCVCVC,3
contrebasses,k§tR°bas,CVCCVCVC,3
contrebassiste,k§tR°basist,CVCCVCVCVCC,4
contrebassistes,k§tR°basist,CVCCVCVCVCC,4
contrebraque,k§tR°bRak,CVCCVCCVC,3
contrecarraient,k§tR°kaRE,CVCCVCVCV,4
contrecarrais,k§tR°kaRE,CVCCVCVCV,4
contrecarre,k§tR°kaR,CVCCVCVC,3
contrecarrer,k§tR°kaRe,CVCCVCVCV,4
contrecarres,k§tR°kaR,CVCCVCVC,3
contrecarré,k§tR°kaRe,CVCCVCVCV,4
contrecarrée,k§tR°kaRe,CVCCVCVCV,4
contrechamp,k§tR°S@,CVCCVCV,3
contrechamps,k§tR°S@,CVCCVCV,3
contrecoeur,k§tR°k9R,CVCCVCVC,3
contrecollé,k§tR°kole,CVCCVCVCV,4
contrecoup,k§tR°ku,CVCCVCV,3
contrecoups,k§tR°ku,CVCCVCV,3
contredanse,k§tR°d@s,CVCCVCVC,3
contredanses,k§tR°d@s,CVCCVCVC,3
contredira,k§tR°diRa,CVCCVCVCV,4
contredirai,k§tR°diRE,CVCCVCVCV,4
contrediraient,k§tR°diRE,CVCCVCVCV,4
contredirait,k§tR°diRE,CVCCVCVCV,4
contredire,k§tR°diR,CVCCVCVC,3
contredirez,k§tR°diRe,CVCCVCVCV,4
contredis,k§tR°di,CVCCVCV,3
contredisaient,k§tR°dizE,CVCCVCVCV,4
contredisait,k§tR°dizE,CVCCVCVCV,4
contredisant,k§tR°diz@,CVCCVCVCV,4
contredise,k§tR°diz,CVCCVCVC,3
contredisent,k§tR°diz,CVCCVCVC,3
contredises,k§tR°diz,CVCCVCVC,3
contredisez,k§tR°dize,CVCCVCVCV,4
contredit,k§tR°di,CVCCVCV,3
contredit,k§tR°di,CVCCVCV,3
contredite,k§tR°dit,CVCCVCVC,3
contredites,k§tR°dit,CVCCVCVC,3
contredits,k§tR°di,CVCCVCV,3
contredits,k§tR°di,CVCCVCV,3
contredît,k§tR°di,CVCCVCV,3
contrefacteurs,k§tR°fakt9R,CVCCVCVCCVC,4
contrefaire,k§tR°fER,CVCCVCVC,3
contrefaisait,k§tR°f°zE,CVCCVCVCV,4
contrefaisant,k§tR°f°z@,CVCCVCVCV,4
contrefait,k§tR°fE,CVCCVCV,3
contrefait,k§tR°fE,CVCCVCV,3
contrefaite,k§tR°fEt,CVCCVCVC,3
contrefaite,k§tR°fEt,CVCCVCVC,3
contrefaits,k§tR°fE,CVCCVCV,3
contrefaits,k§tR°fE,CVCCVCV,3
contrefaçon,k§tR°fas§,CVCCVCVCV,4
contrefaçons,k§tR°fas§,CVCCVCVCV,4
contreferait,k§tR°f°RE,CVCCVCVCV,4
contrefichais,k§tR°fiSE,CVCCVCVCV,4
contrefichait,k§tR°fiSE,CVCCVCVCV,4
contrefiche,k§tR°fiS,CVCCVCVC,3
contrefiche,k§tR°fiS,CVCCVCVC,3
contrefort,k§tR°fOR,CVCCVCVC,3
contreforts,k§tR°fOR,CVCCVCVC,3
contrefous,k§tR°fu,CVCCVCV,3
contrefout,k§tR°fu,CVCCVCV,3
contrefoutait,k§tR°futE,CVCCVCVCV,4
contrefoutre,k§tR°futR,CVCCVCVCC,3
contremander,k§tR°m@de,CVCCVCVCV,4
contremarches,k§tR°maRS,CVCCVCVCC,3
contremarques,k§tR°maRk,CVCCVCVCC,3
contremaître,k§tR°mEtR,CVCCVCVCC,3
contremaîtres,k§tR°mEtR,CVCCVCVCC,3
contremaîtresse,k§tR°mEtREs,CVCCVCVCCVC,4
contrent,k§tR,CVCC,1
contrepartie,k§tR°paRti,CVCCVCVCCV,4
contreplaqué,k§tR°plake,CVCCVCCVCV,4
contrepoids,k§tR°pwa,CVCCVCYV,3
contrepoint,k§tR°pw5,CVCCVCYV,3
contrepoison,k§tR°pwaz§,CVCCVCYVCV,4
contrepoisons,k§tR°pwaz§,CVCCVCYVCV,4
contreproposition,k§tR°pRopozisj§,CVCCVCCVCVCVCYV,6
contrepèterie,k§tR°pEt°Ri,CVCCVCVCVCV,5
contrepèteries,k§tR°pEt°Ri,CVCCVCVCVCV,5
contrer,k§tRe,CVCCV,2
contrerai,k§tR°RE,CVCCVCV,3
contrerait,k§tR°RE,CVCCVCV,3
contreras,k§tR°Ra,CVCCVCV,3
contreront,k§tR°R§,CVCCVCV,3
contres,k§tR,CVCC,1
contres,k§tR,CVCC,1
contrescarpe,k§tREskaRp,CVCCVCCVCC,3
contreseing,k§tR°s5,CVCCVCV,3
contresens,k§tR°s@s,CVCCVCVC,3
contresignait,k§tR°siNE,CVCCVCVCV,4
contresigne,k§tR°siN,CVCCVCVC,3
contresigner,k§tR°siNe,CVCCVCVCV,4
contresigné,k§tR°siNe,CVCCVCVCV,4
contresignée,k§tR°siNe,CVCCVCVCV,4
contresignées,k§tR°siNe,CVCCVCVCV,4
contresignés,k§tR°siNe,CVCCVCVCV,4
contretemps,k§tR°t@,CVCCVCV,3
contretypés,k§tR°tipe,CVCCVCVCV,4
contrevallation,k§tR2valasj§,CVCCVCVCVCYV,5
contrevenaient,k§tR°v°nE,CVCCVCVCV,4
contrevenait,k§tR°v°nE,CVCCVCVCV,4
contrevenant,k§tR°v°n@,CVCCVCVCV,4
contrevenant,k§tR°v°n@,CVCCVCVCV,4
contrevenants,k§tR°v°n@,CVCCVCVCV,4
contrevenez,k§tR°v°ne,CVCCVCVCV,4
contrevenir,k§tR°v°niR,CVCCVCVCVC,4
contrevent,k§tR°v@,CVCCVCV,3
contrevents,k§tR°v@,CVCCVCV,3
contrevenu,k§tR°v°ny,CVCCVCVCV,4
contreviendrait,k§tR°vj5dRE,CVCCVCYVCCV,4
contreviens,k§tR°vj5,CVCCVCYV,3
contrevient,k§tR°vj5,CVCCVCYV,3
contrevérité,k§tR°veRite,CVCCVCVCVCV,5
contrevérités,k§tR°veRite,CVCCVCVCVCV,5
contribua,k§tRib8a,CVCCVCYV,3
contribuable,k§tRib8abl,CVCCVCYVCC,3
contribuables,k§tRib8abl,CVCCVCYVCC,3
contribuaient,k§tRib8E,CVCCVCYV,3
contribuait,k§tRib8E,CVCCVCYV,3
contribuant,k§tRib8@,CVCCVCYV,3
contribue,k§tRiby,CVCCVCV,3
contribuent,k§tRiby,CVCCVCV,3
contribuer,k§tRib8e,CVCCVCYV,3
contribuera,k§tRibyRa,CVCCVCVCV,4
contribueraient,k§tRibyRE,CVCCVCVCV,4
contribuerais,k§tRibyRE,CVCCVCVCV,4
contribuerait,k§tRibyRE,CVCCVCVCV,4
contribueras,k§tRibyRa,CVCCVCVCV,4
contribuerez,k§tRibyRe,CVCCVCVCV,4
contribueront,k§tRibyR§,CVCCVCVCV,4
contribuez,k§tRibye,CVCCVCVV,4
contribuons,k§tRib8§,CVCCVCYV,3
contributeur,k§tRibyt9R,CVCCVCVCVC,4
contribution,k§tRibysj§,CVCCVCVCYV,4
contributions,k§tRibysj§,CVCCVCVCYV,4
contribuât,k§tRib8a,CVCCVCYV,3
contribuèrent,k§tRib8ER,CVCCVCYVC,3
contribué,k§tRib8e,CVCCVCYV,3
contrista,k§tRista,CVCCVCCV,3
contristant,k§tRist@,CVCCVCCV,3
contristées,k§tRiste,CVCCVCCV,3
contrit,k§tRi,CVCCV,2
contrite,k§tRit,CVCCVC,2
contrites,k§tRit,CVCCVC,2
contrition,k§tRisj§,CVCCVCYV,3
contritions,k§tRisj§,CVCCVCYV,3
contrits,k§tRi,CVCCV,2
control,k§tRol,CVCCVC,2
contrordre,k§tRORdR,CVCCVCCC,2
contrordres,k§tRORdR,CVCCVCCC,2
controverse,k§tRovERs,CVCCVCVCC,3
controverses,k§tRovERs,CVCCVCVCC,3
controversé,k§tRovERse,CVCCVCVCCV,4
controversé,k§tRovERse,CVCCVCVCCV,4
controversée,k§tRovERse,CVCCVCVCCV,4
controversée,k§tRovERse,CVCCVCVCCV,4
controversées,k§tRovERse,CVCCVCVCCV,4
controversées,k§tRovERse,CVCCVCVCCV,4
controversés,k§tRovERse,CVCCVCVCCV,4
controversés,k§tRovERse,CVCCVCVCCV,4
contré,k§tRe,CVCCV,2
contrée,k§tRe,CVCCV,2
contrée,k§tRe,CVCCV,2
contrées,k§tRe,CVCCV,2
contrées,k§tRe,CVCCV,2
contrés,k§tRe,CVCCV,2
contrôla,k§tRola,CVCCVCV,3
contrôlable,k§tRolabl,CVCCVCVCC,3
contrôlables,k§tRolabl,CVCCVCVCC,3
contrôlai,k§tRolE,CVCCVCV,3
contrôlaient,k§tRolE,CVCCVCV,3
contrôlais,k§tRolE,CVCCVCV,3
contrôlait,k§tRolE,CVCCVCV,3
contrôlant,k§tRol@,CVCCVCV,3
contrôle,k§tRol,CVCCVC,2
contrôle,k§tRol,CVCCVC,2
contrôlent,k§tRol,CVCCVC,2
contrôler,k§tRole,CVCCVCV,3
contrôler,k§tRole,CVCCVCV,3
contrôlera,k§tRol°Ra,CVCCVCVCV,4
contrôlerai,k§tRol°RE,CVCCVCVCV,4
contrôlerais,k§tRol°RE,CVCCVCVCV,4
contrôlerait,k§tRol°RE,CVCCVCVCV,4
contrôleras,k§tRol°Ra,CVCCVCVCV,4
contrôlerez,k§tRol°Re,CVCCVCVCV,4
contrôleriez,k§tRol°Rje,CVCCVCVCYV,4
contrôlerons,k§tRol°R§,CVCCVCVCV,4
contrôleront,k§tRol°R§,CVCCVCVCV,4
contrôles,k§tRol,CVCCVC,2
contrôles,k§tRol,CVCCVC,2
contrôleur,k§tRol9R,CVCCVCVC,3
contrôleurs,k§tRol9R,CVCCVCVC,3
contrôleuse,k§tRol2z,CVCCVCVC,3
contrôlez,k§tRole,CVCCVCV,3
contrôliez,k§tRolje,CVCCVCYV,3
contrôlions,k§tRolj§,CVCCVCYV,3
contrôlons,k§tRol§,CVCCVCV,3
contrôlâmes,k§tRolam,CVCCVCVC,3
contrôlèrent,k§tRolER,CVCCVCVC,3
contrôlé,k§tRole,CVCCVCV,3
contrôlée,k§tRole,CVCCVCV,3
contrôlées,k§tRole,CVCCVCV,3
contrôlés,k§tRole,CVCCVCV,3
contumace,k§tymas,CVCVCVC,3
contumaces,k§tymas,CVCVCVC,3
contumax,k§tymaks,CVCVCVCC,3
contuse,k§tyz,CVCVC,2
contusion,k§tyzj§,CVCVCYV,3
contusionné,k§tyzjone,CVCVCYVCV,4
contusionné,k§tyzjone,CVCVCYVCV,4
contusionnée,k§tyzjone,CVCVCYVCV,4
contusionnée,k§tyzjone,CVCVCYVCV,4
contusionnés,k§tyzjone,CVCVCYVCV,4
contusionnés,k§tyzjone,CVCVCYVCV,4
contusions,k§tyzj§,CVCVCYV,3
contât,k§ta,CVCV,2
conté,k§te,CVCV,2
contée,k§te,CVCV,2
contées,k§te,CVCV,2
contés,k§te,CVCV,2
contînt,k§t5,CVCV,2
convainc,k§v5,CVCV,2
convaincant,k§v5k@,CVCVCV,3
convaincante,k§v5k@t,CVCVCVC,3
convaincantes,k§v5k@t,CVCVCVC,3
convaincants,k§v5k@,CVCVCV,3
convaincra,k§v5kRa,CVCVCCV,3
convaincrai,k§v5kRE,CVCVCCV,3
convaincrait,k§v5kRE,CVCVCCV,3
convaincras,k§v5kRa,CVCVCCV,3
convaincre,k§v5kR,CVCVCC,2
convaincrez,k§v5kRe,CVCVCCV,3
convaincrons,k§v5kR§,CVCVCCV,3
convaincront,k§v5kR§,CVCVCCV,3
convaincs,k§v5,CVCV,2
convaincu,k§v5ky,CVCVCV,3
convaincu,k§v5ky,CVCVCV,3
convaincu,k§v5ky,CVCVCV,3
convaincue,k§v5ky,CVCVCV,3
convaincue,k§v5ky,CVCVCV,3
convaincues,k§v5ky,CVCVCV,3
convaincues,k§v5ky,CVCVCV,3
convaincus,k§v5ky,CVCVCV,3
convaincus,k§v5ky,CVCVCV,3
convaincus,k§v5ky,CVCVCV,3
convainquaient,k§v5kE,CVCVCV,3
convainquait,k§v5kE,CVCVCV,3
convainquant,k§v5k@,CVCVCV,3
convainque,k§v5k,CVCVC,2
convainquent,k§v5k,CVCVC,2
convainques,k§v5k,CVCVC,2
convainquez,k§v5ke,CVCVCV,3
convainquiez,k§v5kje,CVCVCYV,3
convainquirent,k§v5kiR,CVCVCVC,3
convainquis,k§v5ki,CVCVCV,3
convainquit,k§v5ki,CVCVCV,3
convainquons,k§v5k§,CVCVCV,3
convalescence,k§vales@s,CVCVCVCVC,4
convalescences,k§vales@s,CVCVCVCVC,4
convalescent,k§vales@,CVCVCVCV,4
convalescent,k§vales@,CVCVCVCV,4
convalescente,k§vales@t,CVCVCVCVC,4
convalescentes,k§valEs@t,CVCVCVCVC,4
convalescents,k§valEs@,CVCVCVCV,4
convalescents,k§valEs@,CVCVCVCV,4
convalo,k§valo,CVCVCV,3
convalos,k§valo,CVCVCV,3
convecteur,k§vEkt9R,CVCVCCVC,3
convection,k§vEksj§,CVCVCCYV,3
convenable,k§v°nabl,CVCVCVCC,3
convenablement,k§v°nabl°m@,CVCVCVCCVCV,5
convenables,k§v°nabl,CVCVCVCC,3
convenaient,k§v°nE,CVCVCV,3
convenais,k§v°nE,CVCVCV,3
convenait,k§v°nE,CVCVCV,3
convenance,k§v°n@s,CVCVCVC,3
convenances,k§v°n@s,CVCVCVC,3
convenant,k§v°n@,CVCVCV,3
convenant,k§v°n@,CVCVCV,3
convenez,k§v°ne,CVCVCV,3
conveniez,k§v°nje,CVCVCYV,3
convenir,k§v°niR,CVCVCVC,3
convenons,k§v°n§,CVCVCV,3
convent,k§v@,CVCV,2
conventicule,k§v@tikyl,CVCVCVCVC,4
convention,k§v@sj§,CVCVCYV,3
conventionnel,k§v@sjonEl,CVCVCYVCVC,4
conventionnel,k§v@sjonEl,CVCVCYVCVC,4
conventionnelle,k§v@sjonEl,CVCVCYVCVC,4
conventionnellement,k§v@sjonEl°m@,CVCVCYVCVCVCV,6
conventionnelles,k§v@sjonEl,CVCVCYVCVC,4
conventionnels,k§v@sjonEl,CVCVCYVCVC,4
conventionnels,k§v@sjonEl,CVCVCYVCVC,4
conventionnée,k§v@sjOne,CVCVCYVCV,4
conventions,k§v@sj§,CVCVCYV,3
conventuel,k§v@t8El,CVCVCYVC,3
conventuelle,k§v@t8El,CVCVCYVC,3
conventuellement,k§v@t8El°m@,CVCVCYVCVCV,5
conventuelles,k§v@t8El,CVCVCYVC,3
conventuels,k§v@t8El,CVCVCYVC,3
convenu,k§v°ny,CVCVCV,3
convenu,k§v°ny,CVCVCV,3
convenue,k§v°ny,CVCVCV,3
convenue,k§v°ny,CVCVCV,3
convenues,k§v°ny,CVCVCV,3
convenues,k§v°ny,CVCVCV,3
convenus,k§v°ny,CVCVCV,3
convenus,k§v°ny,CVCVCV,3
converge,k§vERZ,CVCVCC,2
convergeaient,k§vERZE,CVCVCCV,3
convergeait,k§vERZE,CVCVCCV,3
convergeant,k§vERZ@,CVCVCCV,3
convergence,k§vERZ@s,CVCVCCVC,3
convergent,k§vERZ,CVCVCC,2
convergent,k§vERZ@,CVCVCCV,3
convergente,k§vERZ@t,CVCVCCVC,3
convergentes,k§vERZ@t,CVCVCCVC,3
convergents,k§vERZ@,CVCVCCV,3
convergeons,k§vERZ§,CVCVCCV,3
converger,k§vERZe,CVCVCCV,3
convergeraient,k§vERZ°RE,CVCVCCVCV,4
convergez,k§vERZe,CVCVCCV,3
convergèrent,k§vERZER,CVCVCCVC,3
convergé,k§vERZe,CVCVCCV,3
convers,k§vER,CVCVC,2
conversaient,k§vERsE,CVCVCCV,3
conversais,k§vERsE,CVCVCCV,3
conversait,k§vERsE,CVCVCCV,3
conversant,k§vERs@,CVCVCCV,3
conversation,k§vERsasj§,CVCVCCVCYV,4
conversations,k§vERsasj§,CVCVCCVCYV,4
converse,k§vERs,CVCVCC,2
converse,k§vERs,CVCVCC,2
converse,k§vERs,CVCVCC,2
conversent,k§vERs,CVCVCC,2
converser,k§vERse,CVCVCCV,3
converses,k§vERs,CVCVCC,2
conversez,k§vERse,CVCVCCV,3
conversiez,k§vERsje,CVCVCCYV,3
conversion,k§vERsj§,CVCVCCYV,3
conversions,k§vERsj§,CVCVCCYV,3
conversions,k§vERsj§,CVCVCCYV,3
conversons,k§vERs§,CVCVCCV,3
conversâmes,k§vERsam,CVCVCCVC,3
conversèrent,k§vERsER,CVCVCCVC,3
conversé,k§vERse,CVCVCCV,3
converti,k§vERti,CVCVCCV,3
converti,k§vERti,CVCVCCV,3
converti,k§vERti,CVCVCCV,3
convertible,k§vERtibl,CVCVCCVCC,3
convertibles,k§vERtibl,CVCVCCVCC,3
convertie,k§vERti,CVCVCCV,3
convertie,k§vERti,CVCVCCV,3
convertie,k§vERti,CVCVCCV,3
converties,k§vERti,CVCVCCV,3
converties,k§vERti,CVCVCCV,3
converties,k§vERti,CVCVCCV,3
convertir,k§vERtiR,CVCVCCVC,3
convertira,k§vERtiRa,CVCVCCVCV,4
convertirai,k§vERtiRE,CVCVCCVCV,4
convertirais,k§vERtiRE,CVCVCCVCV,4
convertirait,k§vERtiRE,CVCVCCVCV,4
convertirons,k§vERtiR§,CVCVCCVCV,4
convertis,k§vERti,CVCVCCV,3
convertis,k§vERti,CVCVCCV,3
convertis,k§vERti,CVCVCCV,3
convertissaient,k§vERtisE,CVCVCCVCV,4
convertissais,k§vERtisE,CVCVCCVCV,4
convertissait,k§vERtisE,CVCVCCVCV,4
convertissant,k§vERtis@,CVCVCCVCV,4
convertisse,k§vERtis,CVCVCCVC,3
convertissent,k§vERtis,CVCVCCVC,3
convertisseur,k§vERtis9R,CVCVCCVCVC,4
convertisseurs,k§vERtis9R,CVCVCCVCVC,4
convertissez,k§vERtise,CVCVCCVCV,4
convertissions,k§vERtisj§,CVCVCCVCYV,4
convertit,k§vERti,CVCVCCV,3
convertît,k§vERti,CVCVCCV,3
convexe,k§vEks,CVCVCC,2
convexes,k§vEks,CVCVCC,2
convexité,k§vEksite,CVCVCCVCV,4
convia,k§vja,CVCYV,2
conviaient,k§vjE,CVCYV,2
conviais,k§vjE,CVCYV,2
conviait,k§vjE,CVCYV,2
conviant,k§vj@,CVCYV,2
convict,k§vikt,CVCVCC,2
conviction,k§viksj§,CVCVCCYV,3
convictions,k§viksj§,CVCVCCYV,3
convicts,k§vikt,CVCVCC,2
convie,k§vi,CVCV,2
conviendra,k§vj5dRa,CVCYVCCV,3
conviendrai,k§vj5dRE,CVCYVCCV,3
conviendraient,k§vj5dRE,CVCYVCCV,3
conviendrais,k§vj5dRE,CVCYVCCV,3
conviendrait,k§vj5dRE,CVCYVCCV,3
conviendras,k§vj5dRa,CVCYVCCV,3
conviendrez,k§vj5dRe,CVCYVCCV,3
conviendrions,k§vj5dRij§,CVCYVCCVYV,4
conviendrons,k§vj5dR§,CVCYVCCV,3
conviendront,k§vj5dR§,CVCYVCCV,3
convienne,k§vjEn,CVCYVC,2
conviennent,k§vjEn,CVCYVC,2
conviens,k§vj5,CVCYV,2
convient,k§vi,CVCV,2
convient,k§vj5,CVCYV,2
convier,k§vje,CVCYV,2
conviera,k§viRa,CVCVCV,3
convierai,k§viRE,CVCVCV,3
convierait,k§viRE,CVCVCV,3
conviez,k§vje,CVCYV,2
convinrent,k§v5R,CVCVC,2
convins,k§v5,CVCV,2
convint,k§v5,CVCV,2
convions,k§vj§,CVCYV,2
convive,k§viv,CVCVC,2
convives,k§viv,CVCVC,2
convivial,k§vivjal,CVCVCYVC,3
conviviale,k§vivjal,CVCVCYVC,3
conviviales,k§vivjal,CVCVCYVC,3
convivialisez,k§vivjalize,CVCVCYVCVCV,5
convivialité,k§vivjalite,CVCVCYVCVCV,5
conviviaux,k§vivjo,CVCVCYV,3
convièrent,k§vjER,CVCYVC,2
convié,k§vje,CVCYV,2
convié,k§vje,CVCYV,2
